0 21.8125 0.15
4 21.8125 5.19
9 21.8125 10.24
15 21.8125 15.29
20 21.8125 20.33
26 21.875 25.37
31 21.8125 30.42
36 21.8125 35.46
42 21.8125 40.51
47 21.8125 45.54
52 21.875 50.6
58 21.8125 55.64
63 21.8125 60.68
68 21.875 65.72
73 21.875 70.76
79 21.875 75.79
84 21.875 80.83
89 21.875 85.87
95 21.875 90.91
100 21.9375 95.95
105 21.9375 101.0
110 21.9375 106.04
116 21.9375 111.07
121 22.0 116.12
126 22.0 121.16
131 22.0625 126.21
137 22.0625 131.24
142 22.125 136.29
147 22.1875 141.33
152 22.25 146.38
158 22.3125 151.45
163 22.375 156.5
168 22.375 161.55
173 22.4375 166.6
179 22.5625 171.65
184 22.625 176.69
189 22.6875 181.72
195 22.75 186.77
200 22.875 191.81
205 22.9375 196.86
210 23.0 201.88
216 23.125 206.94
221 23.25 211.99
226 23.375 217.02
232 23.4375 222.06
237 23.5625 227.11
242 23.6875 232.15
248 23.8125 237.19
253 23.9375 242.22
258 24.0625 247.28
264 24.1875 252.32
269 24.3125 257.37
274 24.5 262.4
280 24.625 267.45
285 24.75 272.5
290 24.9375 277.55
296 25.0625 282.58
301 25.25 287.64
306 25.4375 292.68
312 25.5625 297.71
317 25.75 302.75
322 25.9375 307.78
328 26.125 312.83
333 26.3125 317.88
338 26.4375 322.9
344 26.625 327.98
349 26.8125 333.02
354 27.0 338.06
359 27.1875 343.11
365 27.375 348.16
370 27.5 353.21
375 27.6875 358.24
381 27.875 363.29
386 28.0625 368.34
391 28.3125 373.37
397 28.5 378.41
402 28.6875 383.46
407 28.8125 388.5
413 29.0625 393.53
418 29.1875 398.57
423 29.375 403.59
429 29.625 408.64
434 29.8125 413.69
439 30.0 418.73
445 30.1875 423.78
450 30.375 428.82
455 30.5625 433.86
461 30.75 439.0
466 30.9375 444.02
471 31.125 449.08
476 31.375 454.12
482 31.5625 459.15
487 31.75 464.23
492 31.9375 469.24
498 32.125 474.28
503 32.3125 479.56
508 32.5625 484.95
519 32.9375 490.05
524 33.125 495.05
530 33.3125 500.1
535 33.5 505.13
540 33.6875 510.18
545 33.9375 515.22
551 34.125 520.27
556 34.3125 525.3
561 34.5 530.35
567 34.75 535.39
572 34.9375 540.44
577 35.125 545.46
583 35.3125 550.52
588 35.5 555.56
593 35.6875 560.61
599 35.875 565.63
604 36.0625 570.68
609 36.25 575.72
614 36.4375 580.76
620 36.625 585.8
625 36.8125 590.84
630 37.0 595.89
636 37.1875 600.93
641 37.375 605.97
646 37.5625 611.02
651 37.6875 616.08
657 37.9375 621.13
662 38.0625 626.16
667 38.25 631.21
673 38.4375 636.25
678 38.625 641.29
683 38.8125 646.33
689 38.9375 651.38
694 39.125 656.42
699 39.3125 661.45
704 39.4375 666.52
710 39.625 671.56
715 39.75 676.61
720 39.9375 681.64
726 40.0625 686.69
731 40.25 691.74
736 40.4375 696.79
742 40.625 701.83
747 40.75 706.88
752 40.9375 711.93
757 41.125 716.96
763 41.25 722.0
768 41.4375 727.04
773 41.625 732.11
779 41.8125 737.14
784 41.9375 742.19
789 42.0625 747.24
795 42.25 752.29
800 42.4375 757.31
805 42.5625 762.35
810 42.75 767.4
816 42.9375 772.45
821 43.0625 777.48
826 43.25 782.53
832 43.4375 787.57
837 43.5625 792.62
842 43.6875 797.66
847 43.875 802.69
853 44.0 807.75
858 44.1875 812.79
863 44.3125 817.82
869 44.5 822.87
874 44.6875 827.91
879 44.8125 833.03
885 44.9375 838.09
890 45.125 843.12
895 45.25 848.16
901 45.375 853.21
906 45.5625 858.26
911 45.6875 863.29
917 45.8125 868.34
922 46.0 873.38
927 46.125 878.41
933 46.25 883.46
938 46.375 888.52
943 46.5 893.56
949 46.6875 898.67
954 46.8125 903.7
959 47.0 908.75
965 47.125 913.8
970 47.25 918.84
975 47.375 923.89
981 47.5 928.94
986 47.6875 933.96
991 47.8125 939.01
997 47.9375 944.04
1002 48.125 949.09
1007 48.25 954.14
1013 48.375 959.23
1018 48.5 964.23
1023 48.6875 969.28
1029 48.875 974.3
1034 49.0 979.35
1039 49.125 984.38
1045 49.25 989.42
1050 49.4375 994.47
1055 49.5625 999.53
1061 49.625 1004.56
1066 49.8125 1009.62
1071 49.9375 1014.67
1076 50.0625 1019.71
1082 50.1875 1024.74
1087 50.3125 1029.79
1092 50.4375 1034.83
1098 50.625 1039.88
1103 50.75 1044.91
1108 50.875 1049.96
1119 51.1875 1055.05
1124 51.3125 1060.06
1130 51.5 1065.08
1135 51.6875 1070.14
1140 51.8125 1075.18
1145 51.9375 1080.22
1151 52.0625 1085.25
1156 52.25 1090.3
1161 52.375 1095.35
1167 52.5 1100.4
1172 52.6875 1105.46
1177 52.8125 1110.5
1183 52.9375 1115.55
1188 53.125 1120.58
1193 53.25 1125.63
1198 53.375 1130.67
1204 53.5 1135.72
1209 53.625 1140.76
1214 53.75 1145.81
1220 53.875 1150.86
1225 54.0 1155.91
1230 54.125 1160.96
1235 54.25 1166.0
1241 54.375 1171.06
1246 54.4375 1176.09
1251 54.5625 1181.14
1257 54.6875 1186.2
1262 54.75 1191.25
1267 54.875 1196.28
1272 55.0 1201.32
1278 55.0625 1206.39
1283 55.1875 1211.43
1288 55.375 1216.47
1294 55.4375 1221.52
1299 55.625 1226.55
1304 55.75 1231.61
1309 55.875 1236.64
1315 56.0 1241.69
1320 56.125 1246.72
1325 56.1875 1251.76
1331 56.3125 1256.8
1336 56.4375 1261.85
1341 56.5625 1266.92
1347 56.6875 1271.96
1352 56.8125 1277.0
1357 56.9375 1282.04
1362 57.0625 1287.08
1368 57.1875 1292.12
1373 57.3125 1297.17
1378 57.4375 1302.21
1384 57.5625 1307.24
1389 57.75 1312.28
1394 57.8125 1317.36
1400 58.0 1322.51
1405 58.125 1327.55
1410 58.25 1332.6
1415 58.375 1337.64
1421 58.5 1342.67
1426 58.625 1347.73
1431 58.75 1352.77
1437 58.9375 1357.82
1442 59.0625 1362.85
1447 59.1875 1367.9
1453 59.3125 1372.94
1458 59.4375 1377.99
1463 59.625 1383.03
1468 59.6875 1388.08
1474 59.8125 1393.12
1479 59.9375 1398.19
1484 60.125 1403.24
1490 60.1875 1408.28
1495 60.3125 1413.33
1500 60.4375 1418.37
1506 60.5625 1423.4
1511 60.625 1428.45
1516 60.75 1433.51
1521 60.875 1438.54
1527 61.0 1443.59
1532 61.125 1448.64
1537 61.1875 1453.69
1543 61.3125 1458.72
1548 61.4375 1463.77
1553 61.5625 1468.8
1559 61.625 1473.85
1564 61.75 1478.87
1569 61.875 1483.93
1575 62.0 1488.98
1580 62.125 1494.01
1585 62.25 1499.06
1591 62.375 1504.1
1596 62.4375 1509.13
1601 62.5625 1514.23
1607 62.6875 1519.23
1612 62.8125 1524.27
1618 62.9375 1529.32
1623 63.0 1534.34
1628 63.125 1539.39
1634 63.1875 1544.43
1639 63.3125 1549.49
1644 63.4375 1554.51
1650 63.5 1559.57
1655 63.625 1564.61
1660 63.75 1569.66
1666 63.875 1574.69
1671 64.0 1579.74
1676 64.125 1584.78
1682 64.25 1589.81
1687 64.375 1594.86
1692 64.5 1599.91
1698 64.5625 1604.95
1709 64.8125 1610.05
1714 64.875 1615.05
1719 65.0 1620.07
1725 65.125 1625.12
1730 65.1875 1630.16
1735 65.3125 1635.19
1741 65.4375 1640.25
1746 65.5625 1645.29
1751 65.625 1650.35
1757 65.75 1655.37
1762 65.8125 1660.42
1767 65.875 1665.47
1773 66.0 1670.55
1778 66.125 1675.59
1783 66.1875 1680.62
1789 66.375 1685.67
1794 66.4375 1690.71
1799 66.5625 1695.76
1805 66.6875 1700.8
1810 66.8125 1705.86
1815 66.9375 1710.89
1821 67.0 1715.94
1826 67.125 1720.99
1831 67.3125 1726.57
1837 67.375 1731.62
1842 67.5 1736.65
1847 67.625 1741.69
1853 67.75 1746.72
1858 67.875 1751.77
1863 68.0 1756.81
1869 68.0625 1761.84
1874 68.1875 1766.89
1879 68.25 1771.94
1885 68.375 1776.99
1890 68.5 1782.02
1895 68.5625 1787.07
1901 68.6875 1792.11
1906 68.8125 1797.15
1911 68.9375 1802.19
1917 69.0625 1807.24
1922 69.1875 1812.28
1927 69.3125 1817.33
1933 69.4375 1822.37
1938 69.5625 1827.43
1943 69.625 1832.47
1949 69.75 1837.5
1954 69.875 1842.55
1959 69.9375 1847.57
1965 70.0625 1852.63
1970 70.1875 1857.71
1975 70.25 1862.76
1981 70.375 1867.8
1986 70.4375 1872.84
1991 70.5625 1877.9
1997 70.6875 1882.95
2002 70.8125 1887.98
2007 70.9375 1893.02
2013 71.0 1898.05
2018 71.125 1903.1
2023 71.25 1908.16
2029 71.375 1913.2
2034 71.4375 1918.24
2039 71.5625 1923.29
2045 71.6875 1928.34
2050 71.75 1933.37
2055 71.875 1938.42
2061 72.0 1943.46
2066 72.0625 1948.49
2071 72.25 1953.54
2077 72.3125 1958.57
2082 72.4375 1963.62
2087 72.5625 1968.66
2093 72.625 1973.69
2098 72.75 1978.74
2103 72.875 1983.78
2109 72.9375 1988.93
2114 73.0625 1993.98
2119 73.125 1999.02
2125 73.1875 2004.07
2130 73.3125 2009.12
2135 73.4375 2014.15
2141 73.5 2019.23
2146 73.625 2024.24
2151 73.6875 2029.28
2157 73.8125 2034.33
2162 73.875 2039.39
2167 74.0 2044.46
2173 74.125 2049.48
2178 74.25 2054.53
2183 74.3125 2059.57
2189 74.4375 2064.6
2194 74.5625 2069.65
2199 74.6875 2074.69
2205 74.75 2079.75
2210 74.875 2084.77
2216 75.0 2089.84
2221 75.0625 2094.89
2226 75.1875 2099.92
2232 75.3125 2104.97
2242 75.5 2110.05
2248 75.625 2115.05
2253 75.6875 2120.09
2259 75.75 2125.12
2264 75.875 2130.17
2269 76.0 2135.22
2275 76.0625 2140.25
2280 76.1875 2145.31
2285 76.25 2150.35
2291 76.3125 2155.38
2296 76.4375 2160.44
2301 76.5625 2165.49
2307 76.6875 2170.53
2312 76.8125 2175.57
2318 76.875 2180.61
2323 77.0 2185.64
2328 77.0625 2190.69
2334 77.1875 2195.73
2339 77.3125 2200.77
2344 77.4375 2205.8
2350 77.5 2210.85
2355 77.625 2215.9
2361 77.6875 2220.94
2366 77.8125 2225.98
2371 77.9375 2231.03
2377 78.0 2236.07
2382 78.125 2241.1
2387 78.1875 2246.15
2393 78.3125 2251.19
2398 78.375 2256.23
2403 78.5 2261.28
2409 78.5625 2266.31
2414 78.6875 2271.37
2419 78.8125 2276.41
2425 78.875 2281.44
2430 79.0 2286.48
2435 79.0625 2291.53
2441 79.1875 2296.57
2446 79.3125 2301.61
2451 79.375 2306.66
2457 79.5 2311.71
2462 79.5625 2316.75
2467 79.6875 2321.78
2473 79.75 2326.83
2478 79.875 2331.87
2483 80.0 2336.91
2489 80.0625 2341.97
2494 80.1875 2346.99
2500 80.3125 2352.16
2505 80.375 2357.21
2510 80.5 2362.24
2516 80.5625 2367.29
2521 80.625 2372.34
2526 80.75 2377.38
2532 80.8125 2382.44
2537 80.9375 2387.49
2542 81.0 2392.52
2548 81.0625 2397.57
2553 81.1875 2402.61
2558 81.25 2407.66
2563 81.3125 2412.69
2569 81.4375 2417.73
2574 81.5 2422.75
2579 81.625 2427.81
2585 81.6875 2432.84
2590 81.8125 2437.89
2595 81.875 2442.93
2601 82.0 2447.98
2606 82.125 2453.02
2611 82.1875 2458.05
2617 82.3125 2463.1
2622 82.375 2468.15
2627 82.5 2473.21
2633 82.5625 2478.26
2638 82.6875 2483.3
2643 82.75 2488.35
2649 82.875 2493.38
2654 82.9375 2498.44
2659 83.0625 2503.48
2665 83.1875 2508.53
2670 83.25 2513.55
2675 83.375 2518.61
2681 83.4375 2523.66
2686 83.5625 2528.69
2691 83.6875 2533.76
2697 83.75 2538.8
2702 83.8125 2543.83
2707 83.875 2548.88
2713 83.9375 2553.93
2718 84.0 2558.97
2723 84.125 2564.02
2729 84.1875 2569.05
2734 84.25 2574.11
2739 84.3125 2579.15
2745 84.4375 2584.23
2750 84.5 2589.5
2755 84.5625 2594.55
2761 84.6875 2599.59
2766 84.75 2604.66
2767 84.875 2609.7
2767 84.9375 2614.73
2767 84.9375 2619.79
2767 85.125 2624.82
2767 85.25 2629.87
2767 85.3125 2634.9
2767 85.375 2639.95
2767 85.5625 2645.05
2767 85.625 2650.05
